City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zhigansk,66.7697,123.3711,-40.57,79,72,4.73,RU,1610601553
Evensk,61.95,159.2333,-28.21,74,76,2.59,RU,1610601554
Juneau,58.3019,-134.4197,3.0,87,75,3.6,US,1610601407
Mubende,0.5606,31.39,20.24,64,79,0.12,UG,1610601558
San Ignacio,17.1561,-89.0714,22.0,88,75,1.01,BZ,1610601559
Kjøllefjord,70.9457,27.3465,-1.0,86,40,9.26,NO,1610601564
Erdenet,49.0333,104.0833,-19.8,86,49,1.61,MN,1610601565
Buri,-23.7975,-48.5928,20.46,85,96,4.73,BR,1610601567
San Fernando del Valle de Catamarca,-28.4696,-65.7852,18.33,88,15,0.45,AR,1610601570
Tashtagol,52.7657,87.8894,-20.77,86,98,0.97,RU,1610601572
Woodward,36.4337,-99.3904,5.0,60,1,4.63,US,1610601572
Takoradze,4.8845,-1.7554,25.56,87,87,2.67,GH,1610601573
San Patricio,28.017,-97.5169,8.0,93,20,4.12,US,1610601574
Basco,20.4487,121.9702,21.31,75,38,8.64,PH,1610601577
Ulaangom,49.9811,92.0667,-19.11,91,100,0.73,MN,1610601578
Zapolyarnyy,69.4154,30.8136,-17.0,78,75,4.63,RU,1610601579
Guarujá,-23.9931,-46.2564,25.0,26,100,4.26,BR,1610601391
Paranhos,-23.8928,-55.4311,22.01,99,100,1.71,BR,1610601583
Morón,-34.6534,-58.6198,21.11,57,0,3.58,AR,1610601587
Valença,-13.3703,-39.0731,22.65,92,25,0.71,BR,1610601587
Buenos Aires,-34.6132,-58.3772,21.11,64,0,9.26,AR,1610601497
Prieska,-29.6641,22.7474,25.92,55,15,3.31,ZA,1610601590
Churapcha,62.0025,132.4325,-41.56,78,83,0.73,RU,1610601592
Nome,64.5011,-165.4064,-8.0,93,90,4.63,US,1610601594
Kielce,50.8703,20.6275,0.56,1,99,0.67,PL,1610601597
Mount Gambier,-37.8333,140.7667,19.0,48,75,6.69,AU,1610601604
São João da Barra,-21.6403,-41.0511,24.35,87,0,6.88,BR,1610601607
Keller,32.9346,-97.2517,9.44,66,20,4.12,US,1610601609
Roald,62.5833,6.1333,-4.0,68,0,4.12,NO,1610601611
Anori,-3.7728,-61.6442,22.91,98,79,0.61,BR,1610601611
Yar,58.249,52.1026,-24.59,89,98,4.69,RU,1610601612
Bibiani,6.4635,-2.3194,20.86,96,0,0.36,GH,1610601613
Matara,5.9485,80.5353,28.41,69,100,4.21,LK,1610601613
Verkhnevilyuysk,63.4453,120.3167,-28.53,86,98,3.03,RU,1610601616
Machiques,10.0644,-72.545,23.35,67,85,2.11,VE,1610601616
Konstantinovsk,47.5828,41.0922,-0.06,97,100,4.59,RU,1610601617
Terra Santa,-2.1042,-56.4869,23.41,95,63,0.22,BR,1610601618
Baykit,61.67,96.37,-19.12,85,100,4.72,RU,1610601619
Olinda,-8.0089,-34.8553,26.0,69,75,1.54,BR,1610601621
Paris,48.8534,2.3488,9.44,93,90,6.69,FR,1610601433
Port Hueneme,34.1478,-119.1951,14.44,58,1,2.57,US,1610601418
Altamira,-3.2033,-52.2064,22.17,97,98,1.38,BR,1610601625
Kanigiri,15.4,79.5167,26.68,62,0,3.01,IN,1610601627
Cap Malheureux,-19.9842,57.6142,28.0,74,40,5.66,MU,1610601627
Desaguadero,-16.5656,-69.0417,8.72,74,100,3.22,PE,1610601633
Chicama,-7.8447,-79.1469,21.21,81,100,2.07,PE,1610601634
Palmares do Sul,-30.2578,-50.5097,20.12,74,21,5.23,BR,1610601640
Jacqueville,5.2052,-4.4146,25.0,94,20,1.54,CI,1610601641
Kingaroy,-26.5333,151.8333,31.0,37,40,4.12,AU,1610601645
Prince Rupert,54.3161,-130.3201,5.0,75,90,4.12,CA,1610601652
La Ronge,55.1001,-105.2842,-1.0,86,100,4.12,CA,1610601653
Fort William,56.8165,-5.1121,2.22,96,100,1.11,GB,1610601655
Pevek,69.7008,170.3133,-26.73,89,100,0.52,RU,1610601661
Sinnamary,5.3833,-52.95,24.71,86,82,4.71,GF,1610601662
Haines Junction,60.7522,-137.5108,-16.0,85,45,1.03,CA,1610601664
Cabedelo,-6.9811,-34.8339,24.0,94,40,1.54,BR,1610601665
Whitecourt,54.1502,-115.6855,-3.0,63,1,6.17,CA,1610601666
Béboto,8.2668,16.939,17.15,28,0,2.13,TD,1610601667
Nemuro,43.3236,145.575,-1.0,69,40,10.8,JP,1610601667
Omboué,-1.5746,9.2618,22.68,92,99,2.23,GA,1610601668
Tangermünde,52.5446,11.9765,2.22,82,92,0.89,DE,1610601675
Ende,-8.8432,121.6623,31.13,60,89,2.16,ID,1610601676
San Policarpo,12.1791,125.5072,28.47,69,14,3.24,PH,1610601680
Lázaro Cárdenas,17.9583,-102.2,24.51,56,58,1.47,MX,1610601681
San Vicente,-26.6167,-54.1333,20.34,93,5,2.01,AR,1610601683
Takhtamygda,54.1,123.5667,-24.57,80,35,1.0,RU,1610601686
Caucayá,-0.1934,-74.7819,21.42,90,96,0.24,CO,1610601688
Buraidah,26.326,43.975,11.0,71,40,3.09,SA,1610601661
Yinchuan,38.4681,106.2731,2.44,59,43,4.24,CN,1610601689
Illapel,-31.6308,-71.1653,12.08,70,0,0.67,CL,1610601690
Sibolga,1.7427,98.7792,30.46,48,68,1.76,ID,1610601426
Kaltasy,55.9693,54.8032,-18.79,91,100,4.48,RU,1610601695
Pachino,36.7186,15.0907,3.0,100,0,1.03,IT,1610601695
Tilichiki,60.4667,166.1,-31.58,85,2,3.55,RU,1610601698
Winsum,53.33,6.5208,0.56,91,29,5.31,NL,1610601699
Weligama,5.9667,80.4167,28.51,69,100,4.2,LK,1610601702
Okhotsk,59.3833,143.3,-24.55,81,0,4.03,RU,1610601708
Tasiilaq,65.6145,-37.6368,2.0,69,75,5.44,GL,1610601710
St. George's,12.0564,-61.7485,25.0,83,20,5.14,GD,1610601711
Antalaha,-14.9003,50.2788,28.55,71,49,0.91,MG,1610601712
Iskateley,67.6803,53.1512,-23.43,85,95,5.38,RU,1610601713
Carnot,4.9409,15.8665,17.08,33,46,0.5,CF,1610601715
Deputatsky,69.3,139.9,-36.4,83,95,0.41,RU,1610601715
Fortuna,40.5982,-124.1573,13.33,100,90,1.27,US,1610601716
Dunedin,-45.8742,170.5036,18.84,64,6,4.46,NZ,1610601718
Ladário,-19.0047,-57.6017,23.74,97,100,0.58,BR,1610601728
Barra do Bugres,-15.0725,-57.1811,23.24,93,95,0.18,BR,1610601728
Porto Santo,33.072,-16.3415,13.0,71,20,3.6,PT,1610601635
Zyryanka,65.75,150.85,-32.46,85,100,3.71,RU,1610601736
Faya,18.3851,42.4509,12.0,71,0,3.09,SA,1610601737
Ca Mau,9.1769,105.15,28.69,43,47,2.88,VN,1610601742
Yuanping,38.7153,112.7575,0.82,65,53,0.75,CN,1610601745
Kampong Cham,11.9934,105.4635,27.98,43,2,3.07,KH,1610601573
Okha,53.5739,142.9478,-19.4,87,100,5.36,RU,1610601748
Mackenzie,55.2999,-123.1698,-5.0,74,75,2.06,CA,1610601748
Lagoa,39.05,-27.9833,16.52,86,52,6.74,PT,1610601615
Nanning,22.8167,108.3167,19.0,32,0,1.0,CN,1610601753
Todireni,47.6167,27.1167,-2.22,91,69,2.06,RO,1610601755
Cho Dok,10.7,105.1167,28.2,44,0,3.2,VN,1610601757
Trivandrum,8.4833,76.9167,30.0,70,40,2.06,IN,1610601761
Ahipara,-35.1667,173.1667,21.57,74,12,3.07,NZ,1610601714
Tonstad,58.6626,6.7169,-2.78,77,0,2.44,NO,1610601766
Wamba,8.9333,8.6,19.77,24,0,1.72,NG,1610601755
Partenit,44.578,34.3446,4.13,71,72,0.26,UA,1610601771
Gravdal,68.1214,13.5031,-0.11,95,70,2.48,NO,1610601772
Beyneu,45.3167,55.2,1.15,86,21,15.36,KZ,1610601775
Aljezur,37.3191,-8.8033,3.89,100,0,1.34,PT,1610601776
Ambovombe,-25.1667,46.0833,27.85,73,11,3.45,MG,1610601777
Bandarbeyla,9.4942,50.8122,23.61,72,78,9.32,SO,1610601782
Labuhan,-6.8844,112.2051,30.05,68,100,2.64,ID,1610601783
The Valley,18.217,-63.0578,25.0,83,40,5.14,AI,1610601674
Xining,36.6167,101.7667,-0.23,51,27,2.28,CN,1610601786
Nabire,-3.3667,135.4833,29.57,70,100,1.71,ID,1610601788
Graham,47.0529,-122.2943,4.44,100,90,1.32,US,1610601789
Charters Towers,-20.1,146.2667,30.47,51,97,4.52,AU,1610601791
Valdivia,-39.8142,-73.2459,7.0,100,88,1.03,CL,1610601797
Nuuk,64.1835,-51.7216,-4.0,93,75,5.14,GL,1610601798
Mil'kovo,54.7167,158.6167,-21.33,86,0,0.51,RU,1610601801
Klimovo,52.3805,32.1923,-8.96,94,99,1.62,RU,1610601801
Mossamedes,-15.1961,12.1522,22.15,70,100,1.2,AO,1610601803
Valley City,46.9233,-98.0032,4.0,100,90,6.69,US,1610601803
Langsa,4.4683,97.9683,24.97,91,100,0.27,ID,1610601808
Teya,60.3778,92.6267,-22.96,86,100,4.77,RU,1610601809
Nioro,13.35,-15.75,20.97,22,0,4.02,GM,1610601811
Hayesville,44.986,-122.9829,7.78,87,1,1.54,US,1610601812
Pakse,15.1167,105.7833,25.0,47,0,2.06,LA,1610601813
Kidal,18.4411,1.4078,19.12,23,1,3.96,ML,1610601816
Payo,-3.7508,103.6372,29.34,64,100,2.39,ID,1610601816
Sungai Penuh,-2.0833,101.3833,25.58,55,98,1.36,ID,1610601818
Bonthe,7.5264,-12.505,24.81,87,0,1.04,SL,1610601821
Kitui,-1.367,38.0106,18.75,72,75,1.45,KE,1610601822
Comrat,46.3003,28.6572,-1.47,91,57,2.94,MD,1610601824
Dongsheng,39.8161,109.9776,-1.24,68,100,8.99,CN,1610601826
Saint-Joseph,-21.3667,55.6167,29.0,74,0,2.57,RE,1610601827
Moussoro,13.6408,16.4901,18.14,25,0,4.85,TD,1610601830
Kayes,14.0,-11.0,21.2,21,0,2.89,ML,1610601831
Forest Grove,45.5198,-123.1107,6.11,100,1,2.57,US,1610601823
Abhā,18.2164,42.5053,12.0,71,0,3.09,SA,1610601837
Kendari,-3.945,122.4989,30.2,70,100,1.62,ID,1610601839
Eureka,40.8021,-124.1637,12.22,94,61,1.43,US,1610601767
Haizhou,34.5817,119.1289,11.84,48,0,3.19,CN,1610601842
Talnakh,69.4865,88.3972,-34.0,77,1,2.7,RU,1610601647
Médéa,36.2642,2.7539,5.0,100,20,2.57,DZ,1610601853
Thana,34.6369,72.0739,15.87,25,1,0.85,PK,1610601857
Guerrero Negro,27.9769,-114.0611,14.21,55,0,2.63,MX,1610601786
Ust-Maya,60.4167,134.5333,-39.9,80,87,0.26,RU,1610601859
Zambezi,-13.5432,23.1047,18.41,97,100,1.79,ZM,1610601860
Jardim,-21.4803,-56.1381,22.8,93,100,1.14,BR,1610601865
Alofi,-19.0595,-169.9187,25.0,94,90,3.6,NU,1610601678
Sinegor'ye,62.0788,150.477,-33.03,81,100,0.73,RU,1610601867
Kiama,-34.6833,150.8667,32.22,72,29,0.89,AU,1610601869
Waipawa,-41.4122,175.5153,21.11,77,50,3.6,NZ,1610601775
Wanning,18.8003,110.3967,20.98,58,53,4.25,CN,1610601874
Ostrovnoy,68.0531,39.5131,-15.81,94,75,10.63,RU,1610601875
Vryburg,-26.9566,24.7284,22.92,63,37,3.99,ZA,1610601878
Porto Recanati,43.4365,13.6613,7.0,87,40,2.57,IT,1610601880
College,64.8569,-147.8028,-21.0,77,75,2.06,US,1610601880
Yinzhu,35.8786,119.9753,10.0,66,75,8.0,CN,1610601602
Fort Nelson,58.8053,-122.7002,-12.0,92,40,1.03,CA,1610601881
Havelock,34.8791,-76.9013,8.33,92,68,0.45,US,1610601854
Danielskuil,-28.1887,23.5395,21.26,68,90,3.44,ZA,1610601883
Belmonte,-15.8631,-38.8828,25.0,83,75,1.54,BR,1610601884
Chivilcoy,-34.8957,-60.0167,17.22,72,0,4.92,AR,1610601884
Whitianga,-36.8333,175.7,22.24,69,21,2.56,NZ,1610601886
Karasjok,69.4719,25.5112,-15.0,72,0,7.72,NO,1610601888
Nur-Sultan,51.1801,71.446,-31.0,69,0,3.0,KZ,1610601838
Kavaratti,10.5669,72.642,27.25,72,91,3.14,IN,1610601891
São Félix do Xingu,-6.6447,-51.995,21.76,96,93,0.29,BR,1610601892
Xinmin,41.9908,122.8253,-4.0,50,99,4.0,CN,1610601894
Ngunguru,-35.6167,174.5,21.06,72,0,1.92,NZ,1610601894
Notodden,59.5594,9.2585,-9.44,90,0,2.74,NO,1610601898
De-Kastri,51.4667,140.7833,-19.97,88,100,5.97,RU,1610601899
Luena,-11.7833,19.9167,16.48,97,100,2.08,AO,1610601902
Winneba,5.3511,-0.6231,26.0,89,40,3.09,GH,1610601904
São Filipe,14.8961,-24.4956,21.78,73,51,6.33,CV,1610601633
Jinchang,38.4953,102.1739,-1.29,62,37,3.88,CN,1610601905
Samarai,-10.6167,150.6667,28.52,76,100,2.84,PG,1610601906
Malatya Province,38.5,38.0,2.0,100,75,2.06,TR,1610601906
Hambantota,6.1241,81.1185,28.0,94,75,2.06,LK,1610601907
Galle,6.0367,80.217,28.52,69,99,4.0,LK,1610601908
Touros,-5.1989,-35.4608,24.0,88,20,1.54,BR,1610601909
Gigmoto,13.7796,124.39,25.59,89,100,2.82,PH,1610601910
Tigil',57.8,158.6667,-17.79,92,83,2.26,RU,1610601721
Hailey,43.5196,-114.3153,0.0,37,1,3.6,US,1610601918
Coahuayana Viejo,18.7333,-103.6833,22.92,51,100,1.58,MX,1610601919
Nouadhibou,20.931,-17.0347,16.0,48,86,8.75,MR,1610601699
Doha,25.2867,51.5333,17.0,59,0,1.54,QA,1610601754
Bam,29.106,58.357,12.48,24,0,0.7,IR,1610601929
Banjar,-8.19,114.9675,30.0,79,20,6.69,ID,1610601931
Okoneshnikovo,54.8377,75.0834,-27.75,88,43,3.12,RU,1610601933
Bay Roberts,47.5999,-53.2648,-1.11,89,34,1.71,CA,1610601935
Iquique,-20.2208,-70.1431,21.0,64,20,3.6,CL,1610601838
Belomorsk,64.5232,34.7668,-28.69,86,0,1.01,RU,1610601941
Ribeira Grande,38.5167,-28.7,17.57,83,50,10.88,PT,1610601930
Balancán,17.8,-91.5333,20.52,91,86,3.0,MX,1610601946
Cayenne,4.9333,-52.3333,26.0,83,0,2.57,GF,1610601934
Kamen'-na-Obi,53.7884,81.3423,-26.76,88,97,3.74,RU,1610601951
Kharp,66.8014,65.8081,-23.5,84,100,5.99,RU,1610601954
Rocha,-34.4833,-54.3333,13.01,79,0,2.18,UY,1610601823
Tarko-Sale,64.9225,77.785,-15.0,94,100,7.72,RU,1610601665
Half Moon Bay,37.4636,-122.4286,14.44,100,90,3.6,US,1610601956
Wajir,1.7471,40.0573,24.05,72,57,5.56,KE,1610601957
Puerto Escondido,15.85,-97.0667,23.91,73,2,1.79,MX,1610601958
Isiro,2.7739,27.616,18.94,59,87,0.71,CD,1610601958
Nanortalik,60.1432,-45.2371,-1.82,94,100,4.76,GL,1610601584
Bayan,46.0833,127.4,-16.54,92,100,4.74,CN,1610601963
Grand-Santi,4.25,-54.3833,21.49,97,91,0.91,GF,1610601964
Luganville,-15.5333,167.1667,29.29,76,95,3.43,VU,1610601717
Octeville,49.6261,-1.6435,10.0,93,90,8.75,FR,1610601965
Usinsk,65.9939,57.5281,-27.19,85,74,5.22,RU,1610601966
Lakatoro,-16.0999,167.4164,29.3,75,96,4.06,VU,1610601649
San Cristobal,7.7669,-72.225,16.7,85,97,1.08,VE,1610601968
Saucillo,28.0167,-105.2833,10.41,40,0,2.45,MX,1610601969
Manado,1.487,124.8455,31.0,66,40,2.57,ID,1610601857
Sitka,57.0531,-135.33,3.0,87,90,2.57,US,1610601977
Mut,36.6439,33.4389,8.21,63,98,1.16,TR,1610601979
Sherbakul',54.6316,72.3963,-18.0,78,75,2.0,RU,1610601982
Departamento de Maldonado,-34.6667,-54.9167,16.0,82,0,2.57,UY,1610601566
Naze,28.3667,129.4833,19.0,48,75,4.63,JP,1610601985
Chute-aux-Outardes,49.1168,-68.399,-1.0,86,90,4.12,CA,1610601986
Ghanzi,-21.5667,21.7833,22.03,77,0,5.48,BW,1610601987
Vestmannaeyjar,63.4427,-20.2734,6.68,72,94,6.72,IS,1610601831
Nachalovo,46.338,48.2013,-1.0,86,90,7.0,RU,1610601988
Vila Franca do Campo,37.7167,-25.4333,16.11,94,75,4.63,PT,1610601988
Skowhegan,44.7651,-69.7192,-1.11,87,100,1.27,US,1610601989
Taoudenni,22.6783,-3.9836,12.98,38,0,6.85,ML,1610601990
Menongue,-14.6585,17.691,17.02,93,100,1.56,AO,1610601992
Maniitsoq,65.4167,-52.9,-6.78,95,100,3.99,GL,1610601994
Puerto Vallarta,20.6204,-105.2307,19.62,52,100,1.14,MX,1610601996
Leningradskiy,69.3833,178.4167,-20.76,90,100,0.91,RU,1610602000
Saldanha,-33.0117,17.9442,17.0,88,0,3.09,ZA,1610601707
Dhidhdhoo,6.8833,73.1,27.01,77,96,3.93,MV,1610602004
Corning,42.1428,-77.0547,0.56,86,1,3.32,US,1610602005
Trincomalee,8.5711,81.2335,26.62,82,99,2.62,LK,1610602005
Quatre Cocos,-20.2078,57.7625,28.0,74,40,5.66,MU,1610601602
General Roca,-39.0333,-67.5833,22.0,68,0,3.09,AR,1610602009
Yaan,7.3833,8.5667,21.97,93,6,2.44,NG,1610602011
Whitehorse,60.7161,-135.0538,-6.0,68,20,4.63,CA,1610601766
Kaseda-shirakame,31.4167,130.3167,14.0,58,75,2.57,JP,1610602015
Grindavik,63.8424,-22.4338,4.0,81,20,6.17,IS,1610602016
Munai,7.9758,124.0636,25.28,88,98,1.53,PH,1610602020
Alyangula,-13.8483,136.4192,26.0,100,75,2.25,AU,1610602024
Barcelos,41.5388,-8.6151,2.78,100,20,0.51,PT,1610602024
Samoded,63.6083,40.5111,-30.01,87,3,1.87,RU,1610602027
Junín,-34.5838,-60.9433,17.78,31,0,1.34,AR,1610602028
Province of Mantua,45.1667,10.7833,-2.22,93,0,1.54,IT,1610602028
Codrington,-38.2667,141.9667,15.83,74,96,7.25,AU,1610602030
Beringovskiy,63.05,179.3167,-24.01,89,100,4.0,RU,1610602032
Oriximiná,-1.7656,-55.8661,23.63,95,67,0.57,BR,1610601779
Lorengau,-2.0226,147.2712,29.88,65,95,4.24,PG,1610601624
Plouzané,48.3833,-4.6167,11.0,93,90,6.69,FR,1610602035
Bambuí,-20.0064,-45.9769,20.33,96,100,0.86,BR,1610602038
Lake Shasta,40.6804,-122.3708,11.11,92,14,2.15,US,1610602038
Geraldton,-28.7667,114.6,35.0,31,38,9.77,AU,1610601912
Göksun,38.021,36.4973,9.0,93,75,3.09,TR,1610602043
Yulara,-25.2406,130.9889,41.0,11,0,8.75,AU,1610602045
Batemans Bay,-35.7167,150.1833,30.56,80,32,2.68,AU,1610602047
Esperance,-33.8667,121.9,21.0,43,100,9.26,AU,1610601653
Milos,36.75,24.4333,12.0,62,10,7.72,GR,1610602052
Snyder,32.7179,-100.9176,4.0,65,1,4.12,US,1610601927
Tessalit,20.1986,1.0114,16.61,27,0,4.32,ML,1610601554
Soyo,-6.1349,12.3689,25.26,78,42,1.93,AO,1610602054
Kutum,14.2,24.6667,10.65,43,0,2.42,SD,1610602056
Tucumã,-0.1833,-50.05,24.39,92,52,2.51,BR,1610602056
Krasnosel'kup,65.7,82.4667,-21.73,91,100,2.77,RU,1610602058
Whitley Bay,55.0397,-1.4471,1.67,100,90,1.54,GB,1610602060
Saint Paul Harbor,57.79,-152.4072,-2.0,93,40,2.06,US,1610601562
Mamakan,57.8161,114.0028,-23.95,82,100,1.02,RU,1610602065
