City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.3428,57.7575,28.0,74,40,5.66,MU,1610601828
Satellite Beach,28.1761,-80.5901,13.33,82,90,4.63,US,1610602068
Safi,32.2994,-9.2372,10.06,74,0,5.53,MA,1610602069
Makkah al Mukarramah,21.4267,39.8261,22.25,60,0,0.83,SA,1610602055
Peace River,56.2501,-117.286,-2.0,54,20,11.32,CA,1610602071
Makushino,55.2103,67.2442,-29.18,84,0,1.93,RU,1610602072
Miraflores,19.2167,-98.8083,15.0,47,75,2.57,MX,1610602073
Artvin Province,41.1667,41.8333,11.0,93,75,3.09,TR,1610602076
Grand Gaube,-20.0064,57.6608,28.0,74,40,5.66,MU,1610602077
Eyl,7.9803,49.8164,23.77,67,21,9.25,SO,1610602078
Pecos,31.4229,-103.4932,12.0,19,1,8.75,US,1610602079
Souillac,-20.5167,57.5167,28.0,74,40,5.66,MU,1610601673
Cockburn Town,21.4612,-71.1419,25.09,77,7,7.87,TC,1610602085
Kenai,60.5544,-151.2583,-3.33,93,20,2.06,US,1610602087
Tual,-5.6667,132.75,28.41,73,100,2.98,ID,1610601844
Atambua,-9.1061,124.8925,29.34,70,100,0.96,ID,1610602092
Santa Lucía,27.9117,-15.5407,15.56,72,40,3.6,ES,1610602094
Pathein,16.7833,94.7333,29.45,41,0,3.41,MM,1610601833
Huicungo,-7.2833,-76.8,21.53,93,100,0.7,PE,1610602097
Kiryat Gat,31.61,34.7642,13.89,100,2,0.89,IL,1610601481
Bubaque,11.2833,-15.8333,25.52,62,0,5.0,GW,1610601607
Cienfuegos,22.1461,-80.4356,21.0,100,16,1.03,CU,1610602101
Chingirlau,51.095,54.0814,-15.19,91,93,9.99,KZ,1610602103
Izberbash,42.5696,47.8645,5.0,87,100,5.0,RU,1610602104
Huarmey,-10.0681,-78.1522,21.7,83,100,2.4,PE,1610601975
Sambava,-14.2667,50.1667,27.76,77,51,1.24,MG,1610602105
Kāsaragod,12.5,75.0,28.0,54,20,3.09,IN,1610601875
Forsytheganj,52.6333,29.7333,-10.14,97,88,2.0,BY,1610602108
Padang,-0.9492,100.3543,30.82,52,69,2.4,ID,1610602110
San Quintín,30.4833,-115.95,15.6,39,0,1.81,MX,1610602113
Lata,40.1629,-8.3327,8.0,87,75,3.6,PT,1610602073
Kaitangata,-46.2817,169.8464,16.67,80,17,3.58,NZ,1610601670
Limbe,4.0242,9.2149,24.0,100,40,1.54,CM,1610602120
Heraclea,37.5133,34.0467,4.06,74,99,1.34,TR,1610602120
Huoqiu,32.3394,116.2694,14.97,35,65,3.06,CN,1610602123
Pacific Grove,36.6177,-121.9166,14.44,82,1,2.57,US,1610602124
Yartsevo,55.0667,32.6964,-12.36,95,100,4.11,RU,1610602124
Norman Wells,65.282,-126.8329,-17.0,85,90,2.57,CA,1610602125
Port Hardy,50.6996,-127.4199,6.0,93,90,2.06,CA,1610601858
Qom,34.6401,50.8764,5.73,60,57,0.47,IR,1610602126
Włoszczowa,50.8526,19.9659,0.56,1,99,1.9,PL,1610602127
Krutinka,56.0055,71.5113,-27.32,85,0,3.02,RU,1610602127
Nantucket,41.2835,-70.0995,5.0,75,75,4.63,US,1610601389
Tabou,4.423,-7.3528,24.94,88,43,3.52,CI,1610602020
Bonfim,3.0833,-59.95,24.39,80,93,4.1,BR,1610602131
Boyolangu,-8.1181,111.8935,29.07,69,100,3.7,ID,1610601969
Makat,47.6469,53.3463,-6.26,95,100,14.39,KZ,1610602133
Burnie,-41.0667,145.9167,20.0,41,71,4.47,AU,1610602137
Sur,22.5667,59.5289,22.06,44,0,1.21,OM,1610601803
Lüderitz,-26.6481,15.1594,18.59,85,93,1.99,NA,1610601995
Vanimo,-2.6741,141.3028,30.1,67,99,2.8,PG,1610601852
Port Elizabeth,-33.918,25.5701,20.0,100,90,7.2,ZA,1610601624
Necochea,-38.5473,-58.7368,12.78,85,15,5.77,AR,1610601595
Coreaú,-3.5333,-40.6567,22.8,90,95,0.79,BR,1610602144
Butaritari,3.0707,172.7902,27.4,79,77,7.99,KI,1610601595
Port-Gentil,-0.7193,8.7815,24.0,100,20,2.06,GA,1610602147
Xuchang,34.0167,113.8167,15.0,31,27,4.0,CN,1610602148
Oxapampa,-10.5775,-75.4017,15.39,88,100,0.76,PE,1610602150
Havøysund,70.9963,24.6622,0.0,93,90,6.69,NO,1610601758
Piaçabuçu,-10.4056,-36.4344,24.68,81,37,4.03,BR,1610602157
Creston,41.0586,-94.3614,3.0,81,1,3.09,US,1610602158
Berlevåg,70.8578,29.0864,-1.0,86,40,9.26,NO,1610602159
Saint-Philippe,-21.3585,55.7679,29.0,74,0,2.57,RE,1610601809
Bathsheba,13.2167,-59.5167,26.0,69,40,8.23,BB,1610601879
Timrå,62.487,17.3257,-11.0,79,90,6.17,SE,1610602161
Bredasdorp,-34.5322,20.0403,20.0,88,100,5.66,ZA,1610601660
Weihai,37.5017,122.1136,4.88,72,0,7.76,CN,1610602163
Ponta do Sol,32.6667,-17.1,14.0,67,40,4.63,PT,1610601589
Praia da Vitória,38.7333,-27.0667,17.0,88,75,7.68,PT,1610602165
Palomares,17.15,-95.0667,17.57,82,100,4.4,MX,1610602170
Dingle,10.9995,122.6711,26.79,85,100,5.35,PH,1610602171
Denpasar,-8.65,115.2167,30.0,79,20,6.69,ID,1610601627
Djenné,13.9061,-4.5533,20.15,21,93,3.47,ML,1610602173
Vardø,70.3705,31.1107,-13.0,85,75,5.66,NO,1610601638
Cerrito,6.8432,-72.694,9.64,68,85,0.93,CO,1610601960
Mitsamiouli,-11.3847,43.2844,27.68,73,11,3.54,KM,1610602181
Broken Hill,-31.95,141.4333,29.0,20,0,5.66,AU,1610602164
Manggar,-2.8833,108.2667,25.97,87,100,3.81,ID,1610602183
Marawi,7.9986,124.2928,26.67,89,98,3.13,PH,1610601967
Arraial do Cabo,-22.9661,-42.0278,24.11,89,12,8.43,BR,1610601605
Taltal,-25.4,-70.4833,17.17,75,9,0.21,CL,1610601871
Thunder Bay,48.4001,-89.3168,-0.56,93,90,1.03,CA,1610602064
Kodinsk,58.6881,99.1844,-20.98,89,100,6.06,RU,1610602188
Vinh,18.6667,105.6667,18.82,61,1,2.08,VN,1610602132
Sechura,-5.5569,-80.8222,22.78,76,98,4.97,PE,1610602189
Asău,46.4333,26.4,-5.0,93,0,4.12,RO,1610601779
Hong Kong,22.2855,114.1577,18.33,36,2,3.09,HK,1610602082
Myitkyina,25.3833,97.4,25.54,36,0,0.45,MM,1610602191
Coquimbo,-29.9533,-71.3436,14.0,88,20,3.09,CL,1610601796
Port Hedland,-20.3167,118.5667,44.0,20,0,6.69,AU,1610602017
Ust-Nera,64.5667,143.2,-32.0,76,100,0.92,RU,1610602197
Mar del Plata,-38.0023,-57.5575,18.33,59,0,3.6,AR,1610601731
Bilma,18.6853,12.9164,15.05,49,94,5.65,NE,1610602199
Rio Verde de Mato Grosso,-18.9181,-54.8442,23.07,89,94,1.78,BR,1610602023
Tuktoyaktuk,69.4541,-133.0374,-23.0,77,90,1.54,CA,1610602180
Kysyl-Syr,63.8986,122.7617,-36.48,82,97,3.36,RU,1610602206
Alice Springs,-23.7,133.8833,39.0,14,0,7.2,AU,1610602210
Nishihara,26.1842,127.7558,20.0,42,75,3.6,JP,1610602210
Verāval,20.9,70.3667,26.12,27,19,0.55,IN,1610602213
Sibu,2.3,111.8167,28.0,78,40,2.06,MY,1610602049
Khatanga,71.9667,102.5,-40.26,80,93,5.08,RU,1610601914
Isangel,-19.55,169.2667,27.0,89,90,3.6,VU,1610601660
Sanmenxia,34.7747,111.1814,13.38,32,0,4.84,CN,1610602219
Kudahuvadhoo,2.6708,72.8944,27.89,77,65,7.18,MV,1610602109
Cabra,37.4725,-4.4421,2.78,93,0,0.16,ES,1610602223
Dongzhen,22.3797,110.9389,22.68,20,29,1.4,CN,1610602224
Sørland,67.667,12.6934,1.91,81,90,3.69,NO,1610602225
Port Alfred,-33.5906,26.891,19.44,97,100,0.89,ZA,1610601646
Thompson,55.7435,-97.8558,-3.0,100,90,1.54,CA,1610602180
Dingli,35.8614,14.3822,13.89,87,75,4.12,MT,1610602230
Poum,-20.2333,164.0167,27.47,82,99,6.0,NC,1610602230
Christchurch,-43.5333,172.6333,22.22,73,75,5.14,NZ,1610602021
Ransang,8.9603,117.5828,28.71,72,97,3.39,PH,1610602232
Mandalgovi,45.7625,106.2708,-13.82,88,100,7.89,MN,1610602232
Fairbanks,64.8378,-147.7164,-21.0,84,75,0.85,US,1610601604
Gōtsuchō,35.0,132.2167,13.0,47,20,2.06,JP,1610602235
Sawākin,19.1059,37.3321,25.22,73,66,0.83,SD,1610602236
Kisangani,0.5167,25.2,24.28,73,97,0.52,CD,1610602237
Iralaya,15.0,-83.2333,24.22,87,53,3.43,HN,1610602237
Aswān,24.0934,32.907,14.48,53,1,4.87,EG,1610601718
Tambovka,50.0969,128.0489,-20.0,59,0,1.0,RU,1610602241
Acaraú,-2.8856,-40.12,25.09,83,93,5.08,BR,1610602242
Nikolskoye,59.7035,30.7861,-12.22,85,20,3.0,RU,1610602242
Stornoway,58.2093,-6.3865,7.0,93,90,6.69,GB,1610601814
Grajaú,-5.8194,-46.1386,21.95,95,31,0.91,BR,1610602245
Atar,20.5169,-13.0499,15.58,29,100,6.87,MR,1610602128
Mayo,38.8876,-76.5119,1.0,100,1,2.6,US,1610601789
Aklavik,68.2191,-135.0107,-26.0,76,100,1.97,CA,1610601788
Griffith,41.5284,-87.4237,4.0,87,75,4.63,US,1610602251
Arrondissement de Verdun,49.25,5.3333,2.22,97,100,1.38,FR,1610602252
Portland,45.5234,-122.6762,7.22,76,75,0.9,US,1610601687
Vaini,-21.2,-175.2,28.0,89,75,3.09,TO,1610602253
Chui,-33.6971,-53.4616,16.37,67,0,3.37,UY,1610601702
Puerto Lempira,15.2667,-83.7667,23.92,83,56,2.87,HN,1610602255
Provideniya,64.3833,-173.3,-16.0,72,75,3.0,RU,1610602194
Qax,41.4225,46.9242,4.0,93,75,3.09,AZ,1610602257
George Town,5.4112,100.3354,30.0,62,20,3.6,MY,1610601995
Noumea,-22.2763,166.4572,25.0,94,90,5.66,NC,1610601610
Puerto Santander,8.3636,-72.4063,22.22,82,93,1.06,CO,1610602260
Saint-Pierre,-21.3393,55.4781,29.0,74,0,2.57,RE,1610602260
Beroroha,-21.6667,45.1667,31.85,52,55,1.79,MG,1610602261
Nizhnevartovsk,60.9344,76.5531,-19.0,78,0,6.0,RU,1610602262
Ixtapa,20.7,-105.2,18.01,58,100,1.17,MX,1610602237
Naryan-Mar,67.6713,53.087,-23.64,85,90,5.3,RU,1610602055
Nowa Ruda,50.5801,16.5016,-2.22,82,85,1.56,PL,1610602264
Turukhansk,65.8167,87.9833,-34.04,83,83,2.78,RU,1610601909
Mahébourg,-20.4081,57.7,28.0,74,40,5.66,MU,1610602266
Kindu,-2.95,25.95,20.96,97,100,1.76,CD,1610602267
Concepción,-36.827,-73.0498,12.0,82,0,5.66,CL,1610602174
Parintins,-2.6283,-56.7358,23.14,96,48,0.81,BR,1610602269
Maceió,-9.6658,-35.7353,23.0,94,20,1.54,BR,1610602269
Chokurdakh,70.6333,147.9167,-29.6,87,100,3.5,RU,1610602270
Albany,42.6001,-73.9662,0.56,71,100,1.49,US,1610602167
Hilo,19.7297,-155.09,23.0,78,1,1.71,US,1610601442
Pantai Remis,4.4557,100.6288,31.0,70,40,0.51,MY,1610602273
Constitución,-35.3333,-72.4167,11.43,71,0,4.24,CL,1610602275
Inyonga,-6.7167,32.0667,21.03,86,95,0.15,TZ,1610602276
Katsuura,35.1333,140.3,14.44,76,20,2.06,JP,1610602074
Torbay,47.6666,-52.7314,0.0,93,90,3.09,CA,1610602137
Saskylakh,71.9167,114.0833,-43.94,75,58,3.6,RU,1610602279
Montego Bay,18.4712,-77.9188,25.0,73,20,2.57,JM,1610602168
Iqaluit,63.7506,-68.5145,-26.67,76,1,1.54,CA,1610601820
Hasaki,35.7333,140.8333,14.44,38,0,3.09,JP,1610601999
Yellowknife,62.456,-114.3525,-12.22,92,90,5.14,CA,1610601758
Yarmouth,41.7057,-70.2286,3.0,80,90,3.9,US,1610602181
Hornepayne,49.2138,-84.7705,-3.37,98,96,0.59,CA,1610602292
Prince George,53.9166,-122.753,0.0,64,1,4.63,CA,1610602292
Flinders,-34.5833,150.8552,32.22,62,27,1.79,AU,1610601832
Livingston,55.9029,-3.5226,2.78,100,90,4.12,GB,1610602294
Tiksi,71.6872,128.8694,-36.92,84,71,1.64,RU,1610602295
Puerto Ayacucho,5.6639,-67.6236,23.19,84,95,2.05,VE,1610602298
Klaksvík,62.2266,-6.589,4.0,81,20,10.29,FO,1610602173
Pangnirtung,66.1451,-65.7125,-20.79,75,99,0.29,CA,1610602300
Avarua,-21.2078,-159.775,28.0,74,90,7.72,CK,1610602294
Hermanus,-34.4187,19.2345,21.67,85,80,2.68,ZA,1610602274
Sisimiut,66.9395,-53.6735,-8.36,95,100,2.18,GL,1610602301
Muros,42.7762,-9.0603,7.78,84,69,0.89,ES,1610602302
Escárcega,18.6089,-90.7454,20.39,98,76,1.55,MX,1610602278
Kuytun,54.3419,101.5036,-17.57,91,99,3.89,RU,1610602306
Nyurba,63.2842,118.3319,-25.6,87,100,3.48,RU,1610602307
Severo-Kuril'sk,50.6789,156.125,-6.11,83,71,0.69,RU,1610601725
Luan,46.3592,6.9759,5.0,81,0,1.03,CH,1610602308
Saint George,37.1041,-113.5841,4.0,28,1,1.54,US,1610601511
Ankazoabo,-22.2833,44.5167,31.72,46,0,1.9,MG,1610602310
Gorgota,44.7833,26.0833,-3.89,100,0,3.09,RO,1610602310
Upernavik,72.7868,-56.1549,-11.52,96,100,6.64,GL,1610602306
Tautira,-17.7333,-149.15,28.0,65,40,3.09,PF,1610602312
Tazovsky,67.4667,78.7,-22.28,91,100,3.1,RU,1610602044
Saint-Augustin,51.226,-58.6502,-6.62,94,78,2.18,CA,1610602313
Wencheng,33.0559,113.7978,15.48,39,46,5.43,CN,1610602314
Bluff,-46.6,168.3333,15.0,94,19,4.47,NZ,1610602289
Solnechnyy,50.7214,136.6319,-19.3,87,99,0.6,RU,1610602319
Bengkulu,-3.8004,102.2655,28.82,62,100,2.15,ID,1610602084
Forestville,38.8451,-76.875,2.22,86,1,1.52,US,1610602321
Neiafu,-18.65,-173.9833,28.0,78,20,2.57,TO,1610602322
Yima,34.7381,111.8839,11.94,33,0,0.64,CN,1610602323
Mount Isa,-20.7333,139.5,38.0,19,0,4.63,AU,1610602060
Kahului,20.8947,-156.47,24.0,69,20,2.57,US,1610602324
Port Lincoln,-34.7333,135.8667,17.96,53,17,7.66,AU,1610602325
Lyantonde,-0.4031,31.1572,21.24,71,97,1.23,UG,1610602326
Kruisfontein,-34.0033,24.7314,23.33,84,97,1.79,ZA,1610602237
Kumul,42.8,93.45,-4.34,79,71,1.13,CN,1610602303
Narsaq,60.9167,-46.05,-2.0,86,90,1.03,GL,1610601794
Channarāyapatna,12.9044,76.3917,24.92,53,44,6.28,IN,1610602330
Dikson,73.5069,80.5464,-33.79,81,0,2.85,RU,1610602315
Mahon,39.8885,4.2658,8.0,87,20,2.06,ES,1610602332
Rodrigues Alves,-7.738,-72.6509,22.35,98,90,1.19,BR,1610602333
Dukat,62.55,155.55,-39.48,79,83,2.08,RU,1610602334
Valparaíso,-33.0393,-71.6273,11.0,100,0,2.06,CL,1610602335
Belaya Gora,68.5333,146.4167,-35.48,83,100,2.58,RU,1610602240
Skjervøy,70.0311,20.9714,-10.0,73,75,3.6,NO,1610602336
Boa Vista,2.8197,-60.6733,26.0,73,0,4.63,BR,1610602337
Airai,-8.9266,125.4092,23.73,82,100,0.87,TL,1610601981
Tripoli,32.8752,13.1875,14.33,70,89,7.29,LY,1610602147
Aksha,50.2814,113.2867,-16.53,80,32,3.17,RU,1610602339
Clyde River,70.4692,-68.5914,-20.0,84,90,6.17,CA,1610602339
Hanmer Springs,-42.5167,172.8167,23.29,50,22,2.72,NZ,1610602341
Kavieng,-2.5744,150.7967,29.66,69,81,6.14,PG,1610601886
Atuona,-9.8,-139.0333,25.42,78,20,5.38,PF,1610602267
Beloha,-25.1667,45.05,29.47,61,34,3.59,MG,1610602343
Zunyi,27.6867,106.9072,13.0,42,0,2.23,CN,1610602344
Pirapemas,-3.7267,-44.2233,22.3,99,93,1.07,BR,1610602345
Vostok,46.4856,135.8833,-17.29,91,100,3.05,RU,1610602346
Bilibino,68.0546,166.4372,-30.09,83,81,1.29,RU,1610602348
Pahrump,36.2083,-115.9839,10.56,28,1,1.54,US,1610602177
Ulladulla,-35.35,150.4667,30.56,65,40,8.75,AU,1610602141
Mataura,-46.1927,168.8643,15.0,94,19,4.47,NZ,1610602228
Kapaa,22.0752,-159.319,22.0,78,90,5.66,US,1610602318
Saint Anthony,45.0205,-93.218,1.11,86,1,1.54,US,1610602353
Maravilha,-26.7608,-53.1725,22.0,83,0,7.72,BR,1610602354
Cabo San Lucas,22.8909,-109.9124,15.56,70,35,1.29,MX,1610602163
Bethel,41.3712,-73.414,1.11,80,40,1.94,US,1610601779
Shenjiamen,29.9576,122.298,11.52,71,0,6.49,CN,1610602356
Jalu,29.0331,21.5482,10.49,69,36,7.14,LY,1610602356
East London,-33.0153,27.9116,21.0,100,90,4.12,ZA,1610602357
Grandview,38.8858,-94.533,8.33,61,1,4.63,US,1610602120
Rikitea,-23.1203,-134.9692,25.49,74,61,5.69,PF,1610602168
Ilulissat,69.2167,-51.1,-4.0,80,90,4.12,GL,1610602329
Puerto Ayora,-0.7393,-90.3518,23.89,94,63,1.79,EC,1610602316
Alanya,36.5438,31.9998,16.0,51,40,6.17,TR,1610602334
Carnarvon,-24.8667,113.6333,30.0,70,46,7.2,AU,1610601824
Cape Town,-33.9258,18.4232,21.67,77,0,2.57,ZA,1610602281
Pitimbu,-7.4706,-34.8086,24.0,94,40,1.54,BR,1610602363
New Norfolk,-42.7826,147.0587,22.78,53,78,1.34,AU,1610602239
Unión de Tula,19.9667,-104.2667,16.0,40,100,0.58,MX,1610602364
Castro,-24.7911,-50.0119,18.12,92,87,4.68,BR,1610602094
Elko,41.0002,-115.5012,3.0,70,40,0.96,US,1610602206
Hobart,-42.8794,147.3294,22.78,43,75,4.63,AU,1610602328
Faanui,-16.4833,-151.75,27.62,76,75,7.21,PF,1610602062
Meulaboh,4.1363,96.1285,27.76,67,87,0.72,ID,1610602368
Barrow,71.2906,-156.7887,-23.0,77,1,7.2,US,1610602198
Ushuaia,-54.8,-68.3,11.0,76,75,1.85,AR,1610601907
Upington,-28.4478,21.2561,24.0,73,40,4.12,ZA,1610602369
Busselton,-33.65,115.3333,26.67,36,93,0.89,AU,1610602172
Acapulco de Juárez,16.8634,-99.8901,25.2,68,22,1.07,MX,1610601763
Lebu,-37.6167,-73.65,12.07,88,0,6.86,CL,1610602259
Lompoc,34.6391,-120.4579,20.0,93,1,2.06,US,1610602372
Cidreira,-30.1811,-50.2056,21.22,68,37,6.83,BR,1610602216
Formosa do Rio Preto,-11.0483,-45.1931,20.57,89,3,0.83,BR,1610602373
Longyearbyen,78.2186,15.6401,-6.0,79,75,6.17,SJ,1610601896
Les Escoumins,48.1111,-69.0236,0.0,69,92,4.63,CA,1610602375
Shuiji,27.4214,118.345,17.67,30,0,1.14,CN,1610602376
Husavik,66.0449,-17.3389,3.0,81,90,3.6,IS,1610602376
Raton,36.9034,-104.4391,4.0,48,1,2.57,US,1610602377
Qaanaaq,77.484,-69.3632,-19.3,77,23,1.45,GL,1610602378
Hithadhoo,-0.6,73.0833,27.84,76,49,9.28,MV,1610601917
Jamestown,42.097,-79.2353,2.78,80,40,4.63,US,1610602154
Punta Arenas,-53.15,-70.9167,11.0,82,90,8.23,CL,1610602183
Wadi Maliz,36.4681,8.5495,9.0,87,40,3.6,TN,1610602380
Yangi Marg`ilon,40.4272,71.7189,5.0,52,0,1.03,UZ,1610602381
Linares,-35.85,-71.6,9.75,50,0,1.41,CL,1610602284
Palimbang,6.2106,124.1894,28.99,74,35,2.24,PH,1610602383
